"data_hora","memoria","cpu"
"03/13/2020 14:57:38.703","25.863745510110931","9.5477476379607786"
"03/13/2020 14:58:08.719","25.880842580253187","8.6816120014271867"
"03/13/2020 14:58:38.718","26.062091877416044","8.4521063345714413"
"03/13/2020 14:59:08.718","26.05451014095415","16.122257848956046"
"03/13/2020 14:59:38.714","25.911525715062062","11.874772434966152"
"03/13/2020 15:00:08.734","26.601158428270409","14.33448334103754"
"03/13/2020 15:00:38.718","26.526714935359337","5.7770460993809447"
"03/13/2020 15:01:08.718","26.330658354233993","3.6159979257302188"
"03/13/2020 15:01:38.717","26.295700951889557","4.5520177003075091"
"03/13/2020 15:02:08.717","26.265475774316638","4.240010886556334"
"03/13/2020 15:02:38.714","26.027490664032904","8.7556074735806728"
"03/13/2020 15:03:08.729","26.051864165813086","6.1088740274850899"
"03/13/2020 15:03:38.728","26.057512305056505","4.3180126733286528"
"03/13/2020 15:04:08.728","25.946279580857183","4.8380234740170831"
"03/13/2020 15:04:38.743","25.95045208011809","4.7315618033356044"
"03/13/2020 15:05:08.743","25.934118272035754","4.5000166202386671"
"03/13/2020 15:05:38.742","25.921956963214331","4.1620094331221269"
"03/13/2020 15:06:08.742","25.917377390854796","4.0840076463497965"
"03/13/2020 15:06:38.741","25.925111779728677","4.3180126733286528"
"03/13/2020 15:07:08.741","25.922109615626315","3.6679993391371735"
"03/13/2020 15:07:38.741","26.02733801162092","6.8673201119148981"
"03/13/2020 15:08:08.741","26.071251022135112","10.27334570721089"
"03/13/2020 15:08:38.740","25.734448917160112","5.8520447020285911"
"03/13/2020 15:09:08.740","25.727426906208834","9.6221228403506558"
"03/13/2020 15:09:38.740","25.451583997752959","12.638185484343555"
"03/13/2020 15:10:08.739","25.434130738649401","4.396014126762859"
"03/13/2020 15:10:38.739","25.412148791323645","4.1100083530532849"
"03/13/2020 15:11:08.738","25.391388063293764","3.4599950188618056"
"03/13/2020 15:11:38.738","25.592583942289249","4.6820202338105581"
"03/13/2020 15:12:08.737","25.589480009912229","3.8240022460055867"
"03/13/2020 15:12:38.753","25.590446808521467","4.1338603663928613"
"03/13/2020 15:13:08.752","25.328597037830828","3.902004032777906"
"03/13/2020 15:13:38.752","25.143633198643023","6.320054089310057"
"03/13/2020 15:14:08.751","25.131878962920219","4.9160252607894144"
"03/13/2020 15:14:38.751","25.152232617851478","4.240010886556334"
"03/13/2020 15:15:08.750","25.153097648186058","3.798001872640222"
"03/13/2020 15:15:38.750","25.167599627324577","3.798001872640222"
"03/13/2020 15:16:08.750","25.169991181779","3.6679993391371735"
"03/13/2020 15:16:38.749","25.165004536320843","4.240010886556334"
"03/13/2020 15:17:08.749","25.155438318503155","3.2779910719517913"
"03/13/2020 15:17:38.748","25.155489202640481","4.5260169936040313"
"03/13/2020 15:18:08.748","25.155082129541857","3.798001872640222"
"03/13/2020 15:18:38.747","25.154217099207276","3.7200004192060154"
"03/13/2020 15:19:08.747","25.152639690950103","4.6300191537417152"
"03/13/2020 15:19:38.747","25.1493831061611","4.0840076463497965"
"03/13/2020 15:20:08.762","25.131624542233578","3.692080753726612"
"03/13/2020 15:20:38.761","25.147856582041257","3.6679993391371735"
"03/13/2020 15:21:08.761","25.117936709292309","4.5780180736728742"
"03/13/2020 15:21:38.760","25.145057954488209","3.850002952709064"
"03/13/2020 15:22:08.760","25.121345946493296","3.850002952709064"
"03/13/2020 15:22:38.760","25.14536325931218","4.13600872641865"
"03/13/2020 15:23:08.759","25.11493454518995","4.5780180736728742"
"03/13/2020 15:23:38.759","25.149993715809039","5.2280317412024662"
"03/13/2020 15:24:08.758","25.125976402990158","5.6440400484150999"
"03/13/2020 15:24:38.758","25.145261491037523","4.604018780376351"
"03/13/2020 15:25:08.757","25.244180254003435","7.1520713704115497"
"03/13/2020 15:25:38.757","25.265348055131948","4.4480155401698251"
"03/13/2020 15:26:08.757","25.264839213758666","7.5680800109622854"
"03/13/2020 15:26:38.756","25.289161831401518","4.4740159135351902"
"03/13/2020 15:27:08.756","25.265449823406598","3.902004032777906"
"03/13/2020 15:27:38.755","25.283564576295419","4.656019860445193"
"03/13/2020 15:28:08.770","25.263007384814852","4.2378081381888926"
"03/13/2020 15:28:38.770","25.289161831401518","4.3700137533974948"
"03/13/2020 15:29:08.770","25.245554125711294","3.6419986324336961"
"03/13/2020 15:29:38.769","25.263058268952175","4.4740159135351902"
"03/13/2020 15:30:08.769","25.248301869127015","4.0320068996190788"
"03/13/2020 15:30:38.768","25.270741773688727","3.9800054862121126"
"03/13/2020 15:31:08.768","25.243722296767483","3.6419986324336961"
"03/13/2020 15:31:38.767","25.295471464430207","7.5160792642315677"
"03/13/2020 15:32:08.767","25.249981045658842","10.714145521796359"
"03/13/2020 15:32:38.767","25.272166529533919","4.8640238473824482"
"03/13/2020 15:33:08.766","25.246571808457858","3.3819932320894752"
"03/13/2020 15:33:38.766","25.27318421228048","4.006006192915601"
"03/13/2020 15:34:08.765","25.247691259479076","4.9420256341547786"
"03/13/2020 15:34:38.765","25.274303663301701","4.4740159135351902"
"03/13/2020 15:35:08.764","25.246927997419156","3.6939997125025381"
"03/13/2020 15:35:38.780","25.283920765256717","4.2118212785311027"
"03/13/2020 15:36:08.779","25.342233986634771","4.9420256341547786"
"03/13/2020 15:36:38.779","25.36406328154855","3.850002952709064"
"03/13/2020 15:37:08.778","25.267179884075759","3.798001872640222"
"03/13/2020 15:37:38.778","25.284124301806031","4.3440133800321412"
"03/13/2020 15:38:08.777","25.250540771169455","4.3180126733286528"
